Date,Reference,Group,Percentile01,Percentile25,Percentile75,Percentile99,Rate,TargetDe,TargetUe,Volume
3/1/2016,EFFR,1,0.34,0.36,0.37,0.5,0.36,0.25,0.5,76
3/1/2016,OBFR,1,0.29,0.36,0.37,0.42,0.37,NA,NA,324
3/2/2016,EFFR,2,0.33,0.36,0.37,0.45,0.37,0.25,0.5,75
3/2/2016,OBFR,2,0.29,0.36,0.37,0.42,0.37,NA,NA,333
3/3/2016,EFFR,3,0.34,0.36,0.37,0.5,0.37,0.25,0.5,75
3/3/2016,OBFR,3,0.15,0.36,0.37,0.42,0.37,NA,NA,326
3/4/2016,EFFR,4,0.34,0.36,0.37,0.52,0.36,0.25,0.5,75
3/4/2016,OBFR,4,0.25,0.36,0.37,0.43,0.37,NA,NA,325
3/7/2016,EFFR,5,0.34,0.36,0.37,0.5,0.36,0.25,0.5,72
3/7/2016,OBFR,5,0.15,0.36,0.37,0.43,0.37,NA,NA,320
3/8/2016,EFFR,6,0.32,0.36,0.37,0.5,0.36,0.25,0.5,72
3/8/2016,OBFR,6,0.25,0.36,0.37,0.42,0.37,NA,NA,327
3/9/2016,EFFR,7,0.34,0.36,0.37,0.52,0.36,0.25,0.5,75
3/9/2016,OBFR,7,0.25,0.36,0.37,0.43,0.37,NA,NA,322
3/10/2016,EFFR,8,0.35,0.36,0.37,0.75,0.36,0.25,0.5,72
3/10/2016,OBFR,8,0.25,0.36,0.37,0.43,0.37,NA,NA,331
3/11/2016,EFFR,9,0.35,0.36,0.37,0.5,0.36,0.25,0.5,68
3/11/2016,OBFR,9,0.25,0.36,0.37,0.43,0.37,NA,NA,314
3/14/2016,EFFR,10,0.35,0.36,0.37,0.5,0.36,0.25,0.5,67
3/14/2016,OBFR,10,0.25,0.36,0.37,0.43,0.37,NA,NA,304
3/15/2016,EFFR,11,0.35,0.36,0.37,0.5,0.37,0.25,0.5,67
3/15/2016,OBFR,11,0.29,0.36,0.37,0.42,0.37,NA,NA,302
3/16/2016,EFFR,12,0.35,0.36,0.37,0.5,0.37,0.25,0.5,63
3/16/2016,OBFR,12,0.28,0.36,0.37,0.42,0.37,NA,NA,299
3/17/2016,EFFR,13,0.36,0.36,0.37,0.5,0.37,0.25,0.5,63
3/17/2016,OBFR,13,0.15,0.36,0.37,0.42,0.37,NA,NA,306
3/18/2016,EFFR,14,0.32,0.36,0.37,0.55,0.37,0.25,0.5,66
3/18/2016,OBFR,14,0.15,0.36,0.37,0.43,0.37,NA,NA,299
3/21/2016,EFFR,15,0.35,0.36,0.37,0.56,0.37,0.25,0.5,61
3/21/2016,OBFR,15,0.15,0.36,0.37,0.43,0.37,NA,NA,305
3/22/2016,EFFR,16,0.33,0.36,0.37,0.55,0.37,0.25,0.5,66
3/22/2016,OBFR,16,0.25,0.37,0.37,0.43,0.37,NA,NA,310
3/23/2016,EFFR,17,0.32,0.36,0.37,0.55,0.37,0.25,0.5,65
3/23/2016,OBFR,17,0.25,0.37,0.37,0.43,0.37,NA,NA,295
3/24/2016,EFFR,18,0.35,0.36,0.37,0.56,0.37,0.25,0.5,64
3/24/2016,OBFR,18,0.24,0.36,0.38,0.55,0.37,NA,NA,94
3/25/2016,EFFR,19,0.3,0.36,0.37,0.56,0.37,0.25,0.5,68
3/25/2016,OBFR,19,0.01,0.36,0.37,0.55,0.37,NA,NA,96
3/28/2016,EFFR,20,0.35,0.36,0.37,0.56,0.37,0.25,0.5,66
3/28/2016,OBFR,20,0.25,0.37,0.37,0.44,0.37,NA,NA,297
3/29/2016,EFFR,21,0.3,0.36,0.37,0.55,0.37,0.25,0.5,69
3/29/2016,OBFR,21,0.25,0.37,0.37,0.43,0.37,NA,NA,295
3/30/2016,EFFR,22,0.35,0.36,0.37,0.56,0.37,0.25,0.5,73
3/30/2016,OBFR,22,0.25,0.37,0.37,0.48,0.37,NA,NA,301
3/31/2016,EFFR,23,0.2,0.25,0.26,0.56,0.25,0.25,0.5,50
3/31/2016,OBFR,23,0.15,0.25,0.27,0.55,0.25,NA,NA,181
4/1/2016,EFFR,24,0.34,0.36,0.37,0.55,0.37,0.25,0.5,72
4/1/2016,OBFR,24,0.25,0.37,0.37,0.44,0.37,NA,NA,292
4/4/2016,EFFR,25,0.35,0.36,0.37,0.55,0.37,0.25,0.5,74
4/4/2016,OBFR,25,0.28,0.37,0.37,0.43,0.37,NA,NA,294
4/5/2016,EFFR,26,0.35,0.36,0.37,0.55,0.37,0.25,0.5,77
4/5/2016,OBFR,26,0.28,0.37,0.37,0.43,0.37,NA,NA,291
4/6/2016,EFFR,27,0.35,0.36,0.37,0.55,0.37,0.25,0.5,76
4/6/2016,OBFR,27,0.25,0.37,0.37,0.44,0.37,NA,NA,292
4/7/2016,EFFR,28,0.35,0.36,0.37,0.53,0.37,0.25,0.5,79
4/7/2016,OBFR,28,0.29,0.37,0.37,0.44,0.37,NA,NA,294
4/8/2016,EFFR,29,0.33,0.36,0.37,0.53,0.37,0.25,0.5,74
4/8/2016,OBFR,29,0.27,0.37,0.37,0.43,0.37,NA,NA,293
4/11/2016,EFFR,30,0.35,0.36,0.37,0.5,0.37,0.25,0.5,72
4/11/2016,OBFR,30,0.29,0.37,0.37,0.43,0.37,NA,NA,298
4/12/2016,EFFR,31,0.35,0.36,0.37,0.5,0.37,0.25,0.5,74
4/12/2016,OBFR,31,0.29,0.37,0.37,0.43,0.37,NA,NA,300
4/13/2016,EFFR,32,0.33,0.36,0.37,0.53,0.37,0.25,0.5,73
4/13/2016,OBFR,32,0.15,0.37,0.37,0.43,0.37,NA,NA,289
4/14/2016,EFFR,33,0.35,0.37,0.37,0.56,0.37,0.25,0.5,71
4/14/2016,OBFR,33,0.29,0.37,0.37,0.43,0.37,NA,NA,278
4/15/2016,EFFR,34,0.36,0.37,0.38,0.5,0.37,0.25,0.5,70
4/15/2016,OBFR,34,0.2,0.37,0.37,0.43,0.37,NA,NA,277
4/18/2016,EFFR,35,0.36,0.37,0.37,0.56,0.37,0.25,0.5,69
4/18/2016,OBFR,35,0.29,0.37,0.37,0.44,0.37,NA,NA,283
4/19/2016,EFFR,36,0.36,0.37,0.37,0.56,0.37,0.25,0.5,66
4/19/2016,OBFR,36,0.29,0.37,0.37,0.45,0.37,NA,NA,290
4/20/2016,EFFR,37,0.33,0.37,0.37,0.56,0.37,0.25,0.5,62
