"Date","Reference","Group","Percentile01","Percentile25","Percentile75","Percentile99","Rate","TargetDe","TargetUe","Volume"
"04/02/2018","BGCR",1,1.15,1.76,1.77,2.1,1.77,NA,NA,361
"04/02/2018","EFFR",1,1.65,1.68,1.69,1.81,1.68,1.5,1.75,89
"04/02/2018","OBFR",1,1.4,1.68,1.69,1.8,1.68,NA,NA,160
"04/02/2018","SOFR",1,1.25,1.77,1.89,2.25,1.8,NA,NA,849
"04/02/2018","TGCR",1,1.15,1.75,1.77,1.85,1.77,NA,NA,329
"04/03/2018","BGCR",2,1.5,1.8,1.82,1.97,1.81,NA,NA,344
"04/03/2018","EFFR",2,1.65,1.68,1.69,1.8,1.69,1.5,1.75,90
"04/03/2018","OBFR",2,1.22,1.68,1.69,1.77,1.68,NA,NA,177
"04/03/2018","SOFR",2,1.62,1.81,1.91,2,1.83,NA,NA,825
"04/03/2018","TGCR",2,1.5,1.8,1.82,1.84,1.81,NA,NA,321
"04/04/2018","BGCR",3,1.57,1.7,1.7,1.81,1.7,NA,NA,348
"04/04/2018","EFFR",3,1.65,1.68,1.7,1.8,1.69,1.5,1.75,83
"04/04/2018","OBFR",3,1.55,1.68,1.7,1.8,1.69,NA,NA,176
"04/04/2018","SOFR",3,1.65,1.7,1.79,1.84,1.74,NA,NA,859
"04/04/2018","TGCR",3,1.57,1.69,1.7,1.74,1.7,NA,NA,327
"04/05/2018","BGCR",4,1.6,1.7,1.7,1.85,1.7,NA,NA,349
"04/05/2018","EFFR",4,1.65,1.68,1.7,1.81,1.69,1.5,1.75,88
"04/05/2018","OBFR",4,1.4,1.68,1.7,1.8,1.69,NA,NA,173
"04/05/2018","SOFR",4,1.65,1.7,1.81,1.85,1.75,NA,NA,829
"04/05/2018","TGCR",4,1.6,1.7,1.7,1.75,1.7,NA,NA,331
"04/06/2018","BGCR",5,1.6,1.7,1.7,1.83,1.7,NA,NA,352
"04/06/2018","EFFR",5,1.65,1.68,1.7,1.81,1.69,1.5,1.75,78
"04/06/2018","OBFR",5,1.15,1.68,1.7,1.8,1.69,NA,NA,154
"04/06/2018","SOFR",5,1.65,1.7,1.8,1.84,1.75,NA,NA,845
