Dgara,,,,,
Time,EFFR,volumeEFFR,TargetUE,TargetDE,dgara index
3/1/2016,0,0,,0,
3/2/2016,0,0,,0,
3/3/2016,0,0,,0,
3/4/2016,0.37,325,,,
3/7/2016,0.37,320,,,
3/8/2016,0.37,327,,,
3/9/2016,0.37,322,,,
3/10/2016,0.37,331,,,
3/11/2016,0.37,314,,,
3/14/2016,0.37,304,,,
3/15/2016,0.37,302,,,
3/16/2016,0.37,299,,,
3/17/2016,0.37,306,,,
3/18/2016,0.37,299,,,
3/21/2016,0.37,305,,,
3/22/2016,0.37,310,,,
3/23/2016,0.37,295,,,
3/24/2016,0.37,94,,,
3/25/2016,0.37,96,,,
3/28/2016,0.37,297,,,
3/29/2016,0.37,295,,,
3/30/2016,0.37,301,,,
3/31/2016,0.25,181,,,
4/1/2016,0.37,292,,,
4/4/2016,0.37,294,,,
4/5/2016,0.37,291,,,
4/6/2016,0.37,292,,,
4/7/2016,0.37,294,,,
4/8/2016,0.37,293,,,
4/11/2016,0.37,298,,,
4/12/2016,0.37,300,,,
4/13/2016,0.37,289,,,
4/14/2016,0.37,278,,,
4/15/2016,0.37,277,,,
4/18/2016,0.37,283,,,
4/19/2016,0.37,290,,,
4/20/2016,0.37,282,,,
4/21/2016,0.37,299,,,
4/22/2016,0.37,289,,,
4/25/2016,0.37,279,,,
4/26/2016,0.37,273,,,
4/27/2016,0.37,294,,,
4/28/2016,0.37,302,,,
4/29/2016,0.3,290,,,
5/2/2016,0.37,280,,,
5/3/2016,0.37,296,,,
5/4/2016,0.37,267,,,
5/5/2016,0.37,292,,,
5/6/2016,0.37,294,,,
5/9/2016,0.37,296,,,
5/10/2016,0.37,292,,,
5/11/2016,0.37,287,,,
5/12/2016,0.37,292,,,
5/13/2016,0.37,268,,,
5/16/2016,0.37,290,,,
5/17/2016,0.37,293,,,
5/18/2016,0.37,301,,,
5/19/2016,0.37,309,,,
5/20/2016,0.37,309,,,
5/23/2016,0.37,313,,,
5/24/2016,0.37,321,,,
5/25/2016,0.37,307,,,
5/26/2016,0.37,318,,,
5/27/2016,0.37,308,,,
5/31/2016,0.29,284,,,
6/1/2016,0.37,305,,,
6/2/2016,0.37,302,,,
6/3/2016,0.37,295,,,
6/6/2016,0.37,291,,,
6/7/2016,0.37,296,,,
6/8/2016,0.37,293,,,
6/9/2016,0.37,293,,,
6/10/2016,0.37,284,,,
6/13/2016,0.37,285,,,
6/14/2016,0.37,257,,,
6/15/2016,0.38,241,,,
6/16/2016,0.38,255,,,
6/17/2016,0.38,247,,,
6/20/2016,0.38,248,,,
6/21/2016,0.38,258,,,
6/22/2016,0.38,250,,,
6/23/2016,0.39,244,,,
6/24/2016,0.4,248,,,
6/27/2016,0.41,239,,,
6/28/2016,0.41,242,,,
6/29/2016,0.41,249,,,
6/30/2016,0.3,159,,,
7/1/2016,0.41,235,,,
7/5/2016,0.4,273,,,
7/6/2016,0.4,231,,,
7/7/2016,0.4,245,,,
7/8/2016,0.4,244,,,
7/11/2016,0.4,254,,,
7/12/2016,0.4,258,,,
7/13/2016,0.4,264,,,
7/14/2016,0.4,250,,,
7/15/2016,0.4,256,,,
7/18/2016,0.4,248,,,
7/19/2016,0.4,255,,,
7/20/2016,0.4,254,,,
7/21/2016,0.4,254,,,
7/22/2016,0.4,249,,,
7/25/2016,0.4,267,,,
7/26/2016,0.4,268,,,
7/27/2016,0.4,254,,,
7/28/2016,0.4,254,,,
7/29/2016,0.3,252,,,
8/1/2016,0.4,247,,,
8/2/2016,0.4,258,,,
8/3/2016,0.4,266,,,
8/4/2016,0.4,264,,,
8/5/2016,0.4,257,,,
8/8/2016,0.4,259,,,
8/9/2016,0.4,252,,,
8/10/2016,0.4,246,,,
8/11/2016,0.4,237,,,
8/12/2016,0.4,241,,,
8/15/2016,0.4,243,,,
8/16/2016,0.4,243,,,
8/17/2016,0.4,250,,,
8/18/2016,0.4,239,,,
8/19/2016,0.4,245,,,
8/22/2016,0.4,248,,,
8/23/2016,0.4,254,,,
8/24/2016,0.4,251,,,
8/25/2016,0.4,257,,,
8/26/2016,0.4,254,,,
8/29/2016,0.4,258,,,
8/30/2016,0.4,250,,,
8/31/2016,0.3,244,,,
9/1/2016,0.4,227,,,
9/2/2016,0.4,224,,,
9/6/2016,0.4,233,,,
9/7/2016,0.4,244,,,
9/8/2016,0.4,248,,,
9/9/2016,0.4,228,,,
9/12/2016,0.4,243,,,
9/13/2016,0.4,229,,,
9/14/2016,0.4,224,,,
9/15/2016,0.4,233,,,
9/16/2016,0.4,231,,,
9/19/2016,0.4,230,,,
9/20/2016,0.4,232,,,
9/21/2016,0.4,221,,,
9/22/2016,0.4,226,,,
9/23/2016,0.4,222,,,
9/26/2016,0.4,213,,,
9/27/2016,0.4,186,,,
9/28/2016,0.4,205,,,
9/29/2016,0.4,197,,,
9/30/2016,0.29,142,,,
10/3/2016,0.4,193,,,
10/4/2016,0.4,188,,,
10/5/2016,0.4,176,,,
10/6/2016,0.4,177,,,
10/7/2016,0.41,176,,,
10/11/2016,0.41,169,,,
10/12/2016,0.41,178,,,
10/13/2016,0.41,168,,,
10/14/2016,0.41,163,,,
10/17/2016,0.41,163,,,
10/18/2016,0.41,168,,,
10/19/2016,0.41,170,,,
10/20/2016,0.41,176,,,
10/21/2016,0.41,181,,,
10/24/2016,0.41,177,,,
10/25/2016,0.41,179,,,
10/26/2016,0.41,163,,,
10/27/2016,0.41,158,,,
10/28/2016,0.41,163,,,
10/31/2016,0.31,147,,,
11/1/2016,0.41,157,,,
11/2/2016,0.41,161,,,
11/3/2016,0.41,159,,,
11/4/2016,0.41,157,,,
11/7/2016,0.41,166,,,
11/8/2016,0.41,162,,,
11/9/2016,0.41,172,,,
11/10/2016,0.41,141,,,
11/14/2016,0.41,167,,,
11/15/2016,0.41,174,,,
11/16/2016,0.41,180,,,
11/17/2016,0.41,172,,,
11/18/2016,0.41,178,,,
11/21/2016,0.41,185,,,
11/22/2016,0.41,177,,,
11/23/2016,0.41,184,,,
11/25/2016,0.41,182,,,
11/28/2016,0.41,178,,,
11/29/2016,0.41,181,,,
11/30/2016,0.31,166,,,
12/1/2016,0.41,173,,,
12/2/2016,0.41,179,,,
12/5/2016,0.41,185,,,
12/6/2016,0.41,183,,,
12/7/2016,0.41,181,,,
12/8/2016,0.41,173,,,
12/9/2016,0.41,171,,,
12/12/2016,0.41,181,,,
12/13/2016,0.41,176,,,
12/14/2016,0.41,187,,,
12/15/2016,0.66,170,,,
12/16/2016,0.66,184,,,
12/19/2016,0.66,171,,,
12/20/2016,0.66,175,,,
12/21/2016,0.66,169,,,
12/22/2016,0.66,173,,,
12/23/2016,0.66,167,,,
12/27/2016,0.66,173,,,
12/28/2016,0.66,172,,,
12/29/2016,0.66,167,,,
12/30/2016,0.55,122,,,
1/3/2017,0.66,167,,,
1/4/2017,0.66,188,,,
1/5/2017,0.66,181,,,
1/6/2017,0.66,191,,,
1/9/2017,0.66,188,,,
1/10/2017,0.66,197,,,
