,DFEDTARL,,DFEDTARU,,RRPONTSYAWARD,,IORB,,IORR (+IORR 3/1/14-7/28/21,,Date,SOFR,EFFR
"Billions of U.S. Dollars, Not Seasonally Adjusted",lin,"Percent, Not Seasonally Adjusted",lin,"Percent, Not Seasonally Adjusted",lin,"Percent, Not Seasonally Adjusted",lin,"Percent, Not Seasonally Adjusted",lin,"Percent, Not Seasonally Adjusted",,,
"Weekly, Ending Wednesday",d,"Daily, 7-Day",d,"Daily, 7-Day",d,Daily,d,"Daily, 7-Day",d,"Daily, 7-Day",,,
1984-01-04 to 2023-12-20,12/16/2008,2008-12-16 to 2023-12-21,12/16/2008,2008-12-16 to 2023-12-21,9/23/2013,2013-09-23 to 2023-12-21,7/29/2021,2021-07-29 to 2023-12-22,10/9/2008,2008-10-09 to 2021-07-28,,,
,Federal Funds Target Range - Lower Limit,,Federal Funds Target Range - Upper Limit,,Overnight Reverse Repurchase Agreements Award Rate: Treasury Securities Sold by the Federal Reserve in the Temporary Open Market Operations,,Interest Rate on Reserve Balances,,Interest Rate on Required Reserves (DISCONTINUED),,,,
,Board of Governors of the Federal Reserve System (US),,Board of Governors of the Federal Reserve System (US),,Federal Reserve Bank of New York,,Board of Governors of the Federal Reserve System (US),,Board of Governors of the Federal Reserve System (US),,,,
value,date,value,date,value,date,value,date,value,date,value,,,
22.305,3/1/2016,0.25,3/1/2016,0.5,3/1/2016,0.25,,,3/1/2016,0.5,3/1/2016,NA,0.36
21.443,3/2/2016,0.25,3/2/2016,0.5,3/2/2016,0.25,,,3/2/2016,0.5,3/2/2016,NA,0.37
21.467,3/3/2016,0.25,3/3/2016,0.5,3/3/2016,0.25, ,,3/3/2016,0.5,3/3/2016,NA,0.37
20.922,3/4/2016,0.25,3/4/2016,0.5,3/4/2016,0.25,,,3/4/2016,0.5,3/4/2016,NA,0.36
20.825,3/5/2016,0.25,3/5/2016,0.5,3/7/2016,0.25,,,3/5/2016,0.5,3/7/2016,NA,0.36
18.553,3/6/2016,0.25,3/6/2016,0.5,3/8/2016,0.25,,,3/6/2016,0.5,3/8/2016,NA,0.36
18.344,3/7/2016,0.25,3/7/2016,0.5,3/9/2016,0.25,,,3/7/2016,0.5,3/9/2016,NA,0.36
18.07,3/8/2016,0.25,3/8/2016,0.5,3/10/2016,0.25,,,3/8/2016,0.5,3/10/2016,NA,0.36
18.353,3/9/2016,0.25,3/9/2016,0.5,3/11/2016,0.25,,,3/9/2016,0.5,3/11/2016,NA,0.36
19.004,3/10/2016,0.25,3/10/2016,0.5,3/14/2016,0.25,,,3/10/2016,0.5,3/14/2016,NA,0.36
20.776,3/11/2016,0.25,3/11/2016,0.5,3/15/2016,0.25,,,3/11/2016,0.5,3/15/2016,NA,0.37
18.411,3/12/2016,0.25,3/12/2016,0.5,3/16/2016,0.25,,,3/12/2016,0.5,3/16/2016,NA,0.37
19.325,3/13/2016,0.25,3/13/2016,0.5,3/17/2016,0.25,,,3/13/2016,0.5,3/17/2016,NA,0.37
19.805,3/14/2016,0.25,3/14/2016,0.5,3/18/2016,0.25,,,3/14/2016,0.5,3/18/2016,NA,0.37
20.672,3/15/2016,0.25,3/15/2016,0.5,3/21/2016,0.25,,,3/15/2016,0.5,3/21/2016,NA,0.37
19.946,3/16/2016,0.25,3/16/2016,0.5,3/22/2016,0.25,,,3/16/2016,0.5,3/22/2016,NA,0.37
21.166,3/17/2016,0.25,3/17/2016,0.5,3/23/2016,0.25,,,3/17/2016,0.5,3/23/2016,NA,0.37
18.712,3/18/2016,0.25,3/18/2016,0.5,3/24/2016,#N/A,,,3/18/2016,0.5,3/24/2016,NA,0.37
21.372,3/19/2016,0.25,3/19/2016,0.5,3/25/2016,#N/A,,,3/19/2016,0.5,3/25/2016,NA,0.37
22.479,3/20/2016,0.25,3/20/2016,0.5,3/28/2016,0.25,,,3/20/2016,0.5,3/28/2016,NA,0.37
16.324,3/21/2016,0.25,3/21/2016,0.5,3/29/2016,0.25,,,3/21/2016,0.5,3/29/2016,NA,0.37
