Date,Reference,Rate,,,,,,dontknow,
7/3/2000,EFFR,7.03,,,,,,6.5,
7/5/2000,EFFR,6.52,,,,,,6.5,
7/6/2000,EFFR,6.51,,,,,,6.5,
7/7/2000,EFFR,6.42,,,,,,6.5,
7/10/2000,EFFR,6.51,,,,,,6.5,
7/11/2000,EFFR,6.39,,,,,,6.5,
7/12/2000,EFFR,6.38,,,,,,6.5,
7/13/2000,EFFR,6.5,,,,,,6.5,
7/14/2000,EFFR,6.51,,,,,,6.5,
7/17/2000,EFFR,6.58,,,,,,6.5,
7/18/2000,EFFR,6.47,,,,,,6.5,
7/19/2000,EFFR,6.45,,,,,,6.5,
7/20/2000,EFFR,6.52,,,,,,6.5,
7/21/2000,EFFR,6.51,,,,,,6.5,
7/24/2000,EFFR,6.52,,,,,,6.5,
7/25/2000,EFFR,6.46,,,,,,6.5,
7/26/2000,EFFR,6.49,,,,,,6.5,
7/27/2000,EFFR,6.52,,,,,,6.5,
7/28/2000,EFFR,6.44,,,,,,6.5,
7/31/2000,EFFR,6.64,,,,,,6.5,
8/1/2000,EFFR,6.51,,,,,,6.5,
8/2/2000,EFFR,6.42,,,,,,6.5,
8/3/2000,EFFR,6.45,,,,,,6.5,
8/4/2000,EFFR,6.44,,,,,,6.5,
8/7/2000,EFFR,6.46,,,,,,6.5,
8/8/2000,EFFR,6.44,,,,,,6.5,
8/9/2000,EFFR,6.48,,,,,,6.5,
8/10/2000,EFFR,6.52,,,,,,6.5,
8/11/2000,EFFR,6.5,,,,,,6.5,
8/14/2000,EFFR,6.58,,,,,,6.5,
8/15/2000,EFFR,6.63,,,,,,6.5,
8/16/2000,EFFR,6.48,,,,,,6.5,
8/17/2000,EFFR,6.47,,,,,,6.5,
8/18/2000,EFFR,6.44,,,,,,6.5,
8/21/2000,EFFR,6.48,,,,,,6.5,
8/22/2000,EFFR,6.42,,,,,,6.5,
8/23/2000,EFFR,6.5,,,,,,6.5,
8/24/2000,EFFR,6.56,,,,,,6.5,
8/25/2000,EFFR,6.54,,,,,,6.5,
8/28/2000,EFFR,6.57,,,,,,6.5,
8/29/2000,EFFR,6.51,,,,,,6.5,
8/30/2000,EFFR,6.51,,,,,,6.5,
8/31/2000,EFFR,6.65,,,,,,6.5,
9/1/2000,EFFR,6.52,,,,,,6.5,
9/5/2000,EFFR,6.61,,,,,,6.5,
9/6/2000,EFFR,6.56,,,,,,6.5,
9/7/2000,EFFR,6.53,,,,,,6.5,
9/8/2000,EFFR,6.5,,,,,,6.5,
9/11/2000,EFFR,6.5,,,,,,6.5,
9/12/2000,EFFR,6.47,,,,,,6.5,
9/13/2000,EFFR,6.47,,,,,,6.5,
9/14/2000,EFFR,6.5,,,,,,6.5,
9/15/2000,EFFR,6.55,,,,,,6.5,
9/18/2000,EFFR,6.44,,,,,,6.5,
9/19/2000,EFFR,6.4,,,,,,6.5,
9/20/2000,EFFR,6.5,,,,,,6.5,
9/21/2000,EFFR,6.53,,,,,,6.5,
9/22/2000,EFFR,6.48,,,,,,6.5,
9/25/2000,EFFR,6.54,,,,,,6.5,
9/26/2000,EFFR,6.5,,,,,,6.5,
9/27/2000,EFFR,6.5,,,,,,6.5,
9/28/2000,EFFR,6.59,,,,,,6.5,
9/29/2000,EFFR,6.6,,,,,,6.5,
10/2/2000,EFFR,6.68,,,,,,6.5,
10/3/2000,EFFR,6.46,,,,,,6.5,
10/4/2000,EFFR,6.51,,,,,,6.5,
10/5/2000,EFFR,6.54,,,,,,6.5,
10/6/2000,EFFR,6.43,,,,,,6.5,
10/10/2000,EFFR,6.57,,,,,,6.5,
10/11/2000,EFFR,6.46,,,,,,6.5,
10/12/2000,EFFR,6.47,,,,,,6.5,
10/13/2000,EFFR,6.46,,,,,,6.5,
10/16/2000,EFFR,6.59,,,,,,6.5,
10/17/2000,EFFR,6.45,,,,,,6.5,
10/18/2000,EFFR,6.53,,,,,,6.5,
10/19/2000,EFFR,6.54,,,,,,6.5,
10/20/2000,EFFR,6.5,,,,,,6.5,
10/23/2000,EFFR,6.53,,,,,,6.5,
10/24/2000,EFFR,6.49,,,,,,6.5,
10/25/2000,EFFR,6.53,,,,,,6.5,
10/26/2000,EFFR,6.53,,,,,,6.5,
10/27/2000,EFFR,6.51,,,,,,6.5,
10/30/2000,EFFR,6.59,,,,,,6.5,
10/31/2000,EFFR,6.59,,,,,,6.5,
11/1/2000,EFFR,6.61,,,,,,6.5,
11/2/2000,EFFR,6.54,,,,,,6.5,
11/3/2000,EFFR,6.48,,,,,,6.5,
