Date,Reference,Rate ,Percentile01,Percentile25,Percentile75,Percentile99,Volume,TargetDe,TargetUe,
3/1/2016,EFFR,0.36,0.34,0.36,0.37,0.5,76,0.25,0.5,
3/1/2016,OBFR,0.37,0.29,0.36,0.37,0.42,324,,,
3/2/2016,EFFR,0.37,0.33,0.36,0.37,0.45,75,0.25,0.5,
3/2/2016,OBFR,0.37,0.29,0.36,0.37,0.42,333,,,
3/3/2016,EFFR,0.37,0.34,0.36,0.37,0.5,75,0.25,0.5,
3/3/2016,OBFR,0.37,0.15,0.36,0.37,0.42,326,,,
3/4/2016,EFFR,0.36,0.34,0.36,0.37,0.52,75,0.25,0.5,
3/4/2016,OBFR,0.37,0.25,0.36,0.37,0.43,325,,,
3/7/2016,EFFR,0.36,0.34,0.36,0.37,0.5,72,0.25,0.5,
3/7/2016,OBFR,0.37,0.15,0.36,0.37,0.43,320,,,
3/8/2016,EFFR,0.36,0.32,0.36,0.37,0.5,72,0.25,0.5,
3/8/2016,OBFR,0.37,0.25,0.36,0.37,0.42,327,,,
3/9/2016,EFFR,0.36,0.34,0.36,0.37,0.52,75,0.25,0.5,
3/9/2016,OBFR,0.37,0.25,0.36,0.37,0.43,322,,,
3/10/2016,EFFR,0.36,0.35,0.36,0.37,0.75,72,0.25,0.5,
3/10/2016,OBFR,0.37,0.25,0.36,0.37,0.43,331,,,
3/11/2016,EFFR,0.36,0.35,0.36,0.37,0.5,68,0.25,0.5,
3/11/2016,OBFR,0.37,0.25,0.36,0.37,0.43,314,,,
3/14/2016,EFFR,0.36,0.35,0.36,0.37,0.5,67,0.25,0.5,
3/14/2016,OBFR,0.37,0.25,0.36,0.37,0.43,304,,,
3/15/2016,EFFR,0.37,0.35,0.36,0.37,0.5,67,0.25,0.5,
3/15/2016,OBFR,0.37,0.29,0.36,0.37,0.42,302,,,
3/16/2016,EFFR,0.37,0.35,0.36,0.37,0.5,63,0.25,0.5,
3/16/2016,OBFR,0.37,0.28,0.36,0.37,0.42,299,,,
3/17/2016,EFFR,0.37,0.36,0.36,0.37,0.5,63,0.25,0.5,
3/17/2016,OBFR,0.37,0.15,0.36,0.37,0.42,306,,,
3/18/2016,EFFR,0.37,0.32,0.36,0.37,0.55,66,0.25,0.5,
3/18/2016,OBFR,0.37,0.15,0.36,0.37,0.43,299,,,
3/21/2016,EFFR,0.37,0.35,0.36,0.37,0.56,61,0.25,0.5,
3/21/2016,OBFR,0.37,0.15,0.36,0.37,0.43,305,,,
3/22/2016,EFFR,0.37,0.33,0.36,0.37,0.55,66,0.25,0.5,
3/22/2016,OBFR,0.37,0.25,0.37,0.37,0.43,310,,,
3/23/2016,EFFR,0.37,0.32,0.36,0.37,0.55,65,0.25,0.5,
3/23/2016,OBFR,0.37,0.25,0.37,0.37,0.43,295,,,
3/24/2016,EFFR,0.37,0.35,0.36,0.37,0.56,64,0.25,0.5,
3/24/2016,OBFR,0.37,0.24,0.36,0.38,0.55,94,,,
3/25/2016,EFFR,0.37,0.3,0.36,0.37,0.56,68,0.25,0.5,
3/25/2016,OBFR,0.37,0.01,0.36,0.37,0.55,96,,,
3/28/2016,EFFR,0.37,0.35,0.36,0.37,0.56,66,0.25,0.5,
3/28/2016,OBFR,0.37,0.25,0.37,0.37,0.44,297,,,
3/29/2016,EFFR,0.37,0.3,0.36,0.37,0.55,69,0.25,0.5,
3/29/2016,OBFR,0.37,0.25,0.37,0.37,0.43,295,,,
3/30/2016,EFFR,0.37,0.35,0.36,0.37,0.56,73,0.25,0.5,
3/30/2016,OBFR,0.37,0.25,0.37,0.37,0.48,301,,,
3/31/2016,EFFR,0.25,0.2,0.25,0.26,0.56,50,0.25,0.5,
3/31/2016,OBFR,0.25,0.15,0.25,0.27,0.55,181,,,
4/1/2016,EFFR,0.37,0.34,0.36,0.37,0.55,72,0.25,0.5,
4/1/2016,OBFR,0.37,0.25,0.37,0.37,0.44,292,,,
4/4/2016,EFFR,0.37,0.35,0.36,0.37,0.55,74,0.25,0.5,
4/4/2016,OBFR,0.37,0.28,0.37,0.37,0.43,294,,,
4/5/2016,EFFR,0.37,0.35,0.36,0.37,0.55,77,0.25,0.5,
4/5/2016,OBFR,0.37,0.28,0.37,0.37,0.43,291,,,
4/6/2016,EFFR,0.37,0.35,0.36,0.37,0.55,76,0.25,0.5,
4/6/2016,OBFR,0.37,0.25,0.37,0.37,0.44,292,,,
4/7/2016,EFFR,0.37,0.35,0.36,0.37,0.53,79,0.25,0.5,
4/7/2016,OBFR,0.37,0.29,0.37,0.37,0.44,294,,,
4/8/2016,EFFR,0.37,0.33,0.36,0.37,0.53,74,0.25,0.5,
4/8/2016,OBFR,0.37,0.27,0.37,0.37,0.43,293,,,
4/11/2016,EFFR,0.37,0.35,0.36,0.37,0.5,72,0.25,0.5,
4/11/2016,OBFR,0.37,0.29,0.37,0.37,0.43,298,,,
4/12/2016,EFFR,0.37,0.35,0.36,0.37,0.5,74,0.25,0.5,
4/12/2016,OBFR,0.37,0.29,0.37,0.37,0.43,300,,,
4/13/2016,EFFR,0.37,0.33,0.36,0.37,0.53,73,0.25,0.5,
4/13/2016,OBFR,0.37,0.15,0.37,0.37,0.43,289,,,
4/14/2016,EFFR,0.37,0.35,0.37,0.37,0.56,71,0.25,0.5,
4/14/2016,OBFR,0.37,0.29,0.37,0.37,0.43,278,,,
4/15/2016,EFFR,0.37,0.36,0.37,0.38,0.5,70,0.25,0.5,
4/15/2016,OBFR,0.37,0.2,0.37,0.37,0.43,277,,,
4/18/2016,EFFR,0.37,0.36,0.37,0.37,0.56,69,0.25,0.5,
4/18/2016,OBFR,0.37,0.29,0.37,0.37,0.44,283,,,
4/19/2016,EFFR,0.37,0.36,0.37,0.37,0.56,66,0.25,0.5,
4/19/2016,OBFR,0.37,0.29,0.37,0.37,0.45,290,,,
4/20/2016,EFFR,0.37,0.33,0.37,0.37,0.56,62,0.25,0.5,
4/20/2016,OBFR,0.37,0.28,0.37,0.37,0.45,282,,,
