Source,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release,OFR U.S. Repo Markets Data Release
Terms of Use,,,
Last Update,1/26/2024 15:16,1/26/2024 15:18,1/26/2024 15:24
date,REPO-DVP_AR_LE30-P,REPO-GCF_AR_AG-P,REPO-TRI_AR_AG-P
8/22/2014,,,0.07
8/25/2014,,,0.06
8/26/2014,,,0.06
8/27/2014,,,0.06
8/28/2014,,,0.06
8/29/2014,,,0.06
9/2/2014,,,0.06
9/3/2014,,,0.06
9/4/2014,,,0.07
9/5/2014,,,0.07
9/8/2014,,,0.06
9/9/2014,,,0.06
9/10/2014,,,0.06
9/11/2014,,,0.06
9/12/2014,,,0.06
9/15/2014,,,0.07
9/16/2014,,,0.06
9/17/2014,,,0.06
9/18/2014,,,0.06
9/19/2014,,,0.06
9/22/2014,,,0.06
9/23/2014,,,0.05
9/24/2014,,,0.05
9/25/2014,,,0.05
9/26/2014,,,0.05
9/29/2014,,,0.06
9/30/2014,,,0.02
10/1/2014,,,0.05
10/2/2014,,,0.05
10/3/2014,,,0.06
10/6/2014,,,0.06
10/7/2014,,,0.07
10/8/2014,,,0.06
10/9/2014,,,0.07
10/10/2014,,,0.07
10/14/2014,,,0.08
10/15/2014,,,0.1
10/16/2014,,,0.11
10/17/2014,,,0.11
10/20/2014,,,0.09
10/21/2014,,,0.09
10/22/2014,,,0.08
10/23/2014,,,0.08
10/24/2014,,,0.09
10/27/2014,,,0.1
10/28/2014,,,0.08
10/29/2014,,,0.08
10/30/2014,,,0.1
10/31/2014,,,0.11
11/3/2014,,,0.1
11/4/2014,,,0.08
11/5/2014,,,0.08
11/6/2014,,,0.08
11/7/2014,,,0.07
11/10/2014,,,0.07
11/12/2014,,,0.08
11/13/2014,,,0.09
11/14/2014,,,0.09
11/17/2014,,,0.1
11/18/2014,,,0.09
11/19/2014,,,0.08
11/20/2014,,,0.09
11/21/2014,,,0.09
11/24/2014,,,0.09
11/25/2014,,,0.08
11/26/2014,,,0.09
11/28/2014,,,0.1
12/1/2014,,,0.12
12/2/2014,,,0.13
12/3/2014,,,0.12
12/4/2014,,,0.12
12/5/2014,,,0.12
12/8/2014,,,0.12
12/9/2014,,,0.11
12/10/2014,,,0.11
12/11/2014,,,0.12
12/12/2014,,,0.12
12/15/2014,,,0.11
12/16/2014,,,0.11
12/17/2014,,,0.11
12/18/2014,,,0.12
12/19/2014,,,0.12
12/22/2014,,,0.11
12/23/2014,,,0.09
12/24/2014,,,0.1
12/29/2014,,,0.1
12/30/2014,,,0.09
12/31/2014,,,0.11
1/2/2015,,,0.11
1/5/2015,,,0.09
1/6/2015,,,0.08
1/7/2015,,,0.08
1/8/2015,,,0.08
1/9/2015,,,0.09
1/12/2015,,,0.08
1/21/2015,,,0.08
1/22/2015,,,0.07
1/23/2015,,,0.09
1/26/2015,,,0.09
1/27/2015,,,0.08
1/28/2015,,,0.07
1/29/2015,,,0.07
1/30/2015,,,0.08
2/2/2015,,,0.09
2/3/2015,,,0.09
2/4/2015,,,0.08
2/5/2015,,,0.09
2/6/2015,,,0.11
2/9/2015,,,0.1
2/10/2015,,,0.1
2/11/2015,,,0.09
2/12/2015,,,0.1
2/13/2015,,,0.09
2/17/2015,,,0.09
2/18/2015,,,0.08
2/19/2015,,,0.07
2/20/2015,,,0.07
2/23/2015,,,0.07
2/24/2015,,,0.06
2/25/2015,,,0.06
2/26/2015,,,0.07
2/27/2015,,,0.09
3/2/2015,,,0.09
3/3/2015,,,0.08
3/4/2015,,,0.09
3/5/2015,,,0.1
3/6/2015,,,0.1
3/9/2015,,,0.09
3/10/2015,,,0.09
3/11/2015,,,0.09
3/12/2015,,,0.09
3/13/2015,,,0.09
3/16/2015,,,0.11
3/17/2015,,,0.12
3/18/2015,,,0.11
3/19/2015,,,0.09
3/23/2015,,,0.08
3/24/2015,,,0.1
3/25/2015,,,0.12
3/26/2015,,,0.12
3/27/2015,,,0.12
3/30/2015,,,0.12
3/31/2015,,,0.17
4/1/2015,,,0.17
4/2/2015,,,0.13
4/6/2015,,,0.12
4/7/2015,,,0.12
4/8/2015,,,0.12
