Time,EFFR,VolumeEFFR,TargetUe,TargetDe,PercentileE1,PercentileE25,PercentileE75,PercentileE99,OBFR,VolumeOBFR,PercentileO1,PercentileO25,PercentileO75,PercentileO99,TGCR,VolumeTGCR,PercentileT1,PercentileT25,PercentileT75,PercentileT99,BGCR,VolumeBGCR,PercentileB1,PercentileB25,PercentileB75,PercentileB99,SOFR,VolumeSOFR,sTargetD,sTargetU,PercentileS1,PercentileS25,PercentileS75,PercentileS99,IORR,RRPONTSYAWARD,
3/1/2016 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3/2/2016 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3/3/2016 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3/4/2016 0:00,0.37,325,0,0,0.25,0.36,0.37,0.43,0.29,290,,,,,0.28,345,,,,,0.34,699,,,,,0.37,75,0.25,0.5,0.34,0.36,0.37,0.5,,,
3/7/2016 0:00,0.37,320,0,0,0.15,0.36,0.37,0.43,0.28,297,,,,,0.28,343,,,,,0.34,704,,,,,0.36,75,0.25,0.5,0.34,0.36,0.37,0.52,,,
3/8/2016 0:00,0.37,327,0,0,0.25,0.36,0.37,0.42,0.28,291,,,,,0.28,340,,,,,0.32,700,,,,,0.36,72,0.25,0.5,0.34,0.36,0.37,0.5,,,
3/9/2016 0:00,0.37,322,0,0,0.25,0.36,0.37,0.43,0.28,295,,,,,0.3,340,,,,,0.35,685,,,,,0.36,72,0.25,0.5,0.32,0.36,0.37,0.5,,,
3/10/2016 0:00,0.37,331,0,0,0.25,0.36,0.37,0.43,0.3,285,,,,,0.3,339,,,,,0.36,661,,,,,0.36,75,0.25,0.5,0.34,0.36,0.37,0.52,,,
3/11/2016 0:00,0.37,314,0,0,0.25,0.36,0.37,0.43,0.3,285,,,,,0.3,338,,,,,0.36,662,,,,,0.36,72,0.25,0.5,0.35,0.36,0.37,0.75,,,
3/14/2016 0:00,0.37,304,0,0,0.25,0.36,0.37,0.43,0.3,294, , ,,,0.31,347,,,,,0.4,680,,,,,0.36,68,0.25,0.5,0.35,0.36,0.37,0.5,,,
3/15/2016 0:00,0.37,302,0,0,0.29,0.36,0.37,0.42,0.31,289,,,,,0.3,348,,,,,0.37,699,,,,,0.36,67,0.25,0.5,0.35,0.36,0.37,0.5,,,
3/16/2016 0:00,0.37,299,0,0,0.28,0.36,0.37,0.42,0.3,278,,,,,0.3,332,,,,,0.37,680,,,,,0.37,67,0.25,0.5,0.35,0.36,0.37,0.5,,,
3/17/2016 0:00,0.37,306,0,0,0.15,0.36,0.37,0.42,0.3,279,,,,,0.28,333,,,,,0.34,677,,,,,0.37,63,0.25,0.5,0.35,0.36,0.37,0.5,,,
3/18/2016 0:00,0.37,299,0,0,0.15,0.36,0.37,0.43,0.28,269,,,,,0.27,328,,,,,0.3,682,,,,,0.37,63,0.25,0.5,0.36,0.36,0.37,0.5,,,
3/21/2016 0:00,0.37,305,0,0,0.15,0.36,0.37,0.43,0.27,262,,,,,0.26,323,,,,,0.27,669,,,,,0.37,66,0.25,0.5,0.32,0.36,0.37,0.55,,,
3/22/2016 0:00,0.37,310,0,0,0.25,0.37,0.37,0.43,0.26,259, ,  ,,,0.27,317,,,,,0.29,649,,,,,0.37,61,0.25,0.5,0.35,0.36,0.37,0.56,,,
3/23/2016 0:00,0.37,295,0,0,0.25,0.37,0.37,0.43,0.27,247,,,,,0.31,314,,,,,0.37,653,,,,,0.37,66,0.25,0.5,0.33,0.36,0.37,0.55,,,
3/24/2016 0:00,0.37,94,0,0,0.24,0.36,0.38,0.55,0.31,248,,,,,0.31,298,,,,,0.38,632,,,,,0.37,65,0.25,0.5,0.32,0.36,0.37,0.55,,,
3/25/2016 0:00,0.37,96,0,0,0.01,0.36,0.37,0.55,0.31,248,,,,,0.31,298,,,,,0.38,632,,,,,0.37,64,0.25,0.5,0.35,0.36,0.37,0.56,,,
3/28/2016 0:00,0.37,297,0,0,0.25,0.37,0.37,0.44,0.31,230,,,,,0.32,284,,,,,0.38,632,,,,,0.37,68,0.25,0.5,0.3,0.36,0.37,0.56,,,
3/29/2016 0:00,0.37,295,0,0,0.25,0.37,0.37,0.43,0.31,215,,,,,0.29,282,,,,,0.35,634,,,,,0.37,66,0.25,0.5,0.35,0.36,0.37,0.56,,,
3/30/2016 0:00,0.37,301,0,0,0.25,0.37,0.37,0.48,0.28,209,,,,,0.31,271,,,,,0.42,623,,,,,0.37,69,0.25,0.5,0.3,0.36,0.37,0.55,,,
3/31/2016 0:00,0.25,181,0,0,0.15,0.25,0.27,0.55,0.3,197,,,,,0.31,252,,,,,0.4,590,,,,,0.37,73,0.25,0.5,0.35,0.36,0.37,0.56,,,
4/1/2016 0:00,0.37,292,0,0,0.25,0.37,0.37,0.44,0.3,235,,,,,0.3,304,,,,,0.37,655,,,,,0.25,50,0.25,0.5,0.2,0.25,0.26,0.56,,,
4/4/2016 0:00,0.37,294,0,0,0.28,0.37,0.37,0.43,0.3,249,,,,,0.29,307,,,,,0.35,661,,,,,0.37,72,0.25,0.5,0.34,0.36,0.37,0.55,,,
4/5/2016 0:00,0.37,291,0,0,0.28,0.37,0.37,0.43,0.29,259,,,,,0.29,319,,,,,0.34,662,,,,,0.37,74,0.25,0.5,0.35,0.36,0.37,0.55,,,
4/6/2016 0:00,0.37,292,0,0,0.25,0.37,0.37,0.44,0.29,268,,,,,0.3,324,,,,,0.35,664,,,,,0.37,77,0.25,0.5,0.35,0.36,0.37,0.55,,,
4/7/2016 0:00,0.37,294,0,0,0.29,0.37,0.37,0.44,0.29,266,,,,,0.3,327,,,,,0.35,657,,,,,0.37,76,0.25,0.5,0.35,0.36,0.37,0.55,,,
4/8/2016 0:00,0.37,293,0,0,0.27,0.37,0.37,0.43,0.29,268,,,,,0.3,325,,,,,0.36,647,,,,,0.37,79,0.25,0.5,0.35,0.36,0.37,0.53,,,
4/11/2016 0:00,0.37,298,0,0,0.29,0.37,0.37,0.43,0.3,270,,,,,0.3,324,,,,,0.35,659,,,,,0.37,74,0.25,0.5,0.33,0.36,0.37,0.53,,,
4/12/2016 0:00,0.37,300,0,0,0.29,0.37,0.37,0.43,0.3,270,,,,,0.3,324,,,,,0.35,659,,,,,0.37,72,0.25,0.5,0.35,0.36,0.37,0.5,,,
4/13/2016 0:00,0.37,289,0,0,0.15,0.37,0.37,0.43,0.3,270,,,,,0.3,331,,,,,0.35,665,,,,,0.37,74,0.25,0.5,0.35,0.36,0.37,0.5,,,
4/14/2016 0:00,0.37,278,0,0,0.29,0.37,0.37,0.43,0.3,275,,,,,0.3,324,,,,,0.39,651,,,,,0.37,73,0.25,0.5,0.33,0.36,0.37,0.53,,,
4/15/2016 0:00,0.37,277,0,0,0.2,0.37,0.37,0.43,0.3,279,,,,,0.3,325,,,,,0.37,657,,,,,0.37,71,0.25,0.5,0.35,0.37,0.37,0.56,,,
4/18/2016 0:00,0.37,283,0,0,0.29,0.37,0.37,0.44,0.29,274,,,,,0.28,335,,,,,0.31,656,,,,,0.37,70,0.25,0.5,0.36,0.37,0.38,0.5,,,
4/19/2016 0:00,0.37,290,0,0,0.29,0.37,0.37,0.45,0.27,277,,,,,0.27,345,,,,,0.3,669,,,,,0.37,69,0.25,0.5,0.36,0.37,0.37,0.56,,,
