Date,weekday,DFEDTARL,DFEDTARU,IORR,sdate,Dater,SOFR,EFFR,RRPONTSYAWARD,,,,,,,,
3/4/2016,Friday,25,50,50,3/4/2016,3/4/2016,NA,0.36,0.25,,,,Discrepancy in observations,,,,
3/7/2016,Monday,25,50,50,3/7/2016,3/7/2016,NA,0.36,0.25,,,,,start,end,,
3/8/2016,Tuesday,25,50,50,3/8/2016,3/8/2016,NA,0.36,0.25,,,,filtered,2,2030,2028,
3/9/2016,Wednesday,25,50,50,3/9/2016,3/9/2016,NA,0.36,0.25,,,,sofr,2,1958,1956,72
3/10/2016,Thursday,25,50,50,3/10/2016,3/10/2016,NA,0.36,0.25,,,,,,,,
3/11/2016,Friday,25,50,50,3/11/2016,3/11/2016,NA,0.36,0.25,,,,All Mondays after a holiday,,,,
3/14/2016,Monday,25,50,50,3/14/2016,3/14/2016,NA,0.36,0.25,,,,,,,,
3/15/2016,Tuesday,25,50,50,3/15/2016,3/15/2016,NA,0.37,0.25,,,,,,,,
3/16/2016,Wednesday,25,50,50,3/16/2016,3/16/2016,NA,0.37,0.25,,,,,,,,
3/17/2016,Thursday,25,50,50,3/17/2016,3/17/2016,NA,0.37,0.25,,,,,,,,
3/18/2016,Friday,25,50,50,3/18/2016,3/18/2016,NA,0.37,0.25,,,,,,,,
3/21/2016,Monday,25,50,50,3/21/2016,3/21/2016,NA,0.37,0.25,,,,,,,,
3/22/2016,Tuesday,25,50,50,3/22/2016,3/22/2016,NA,0.37,0.25,,,,,,,,
3/23/2016,Wednesday,25,50,50,3/23/2016,3/23/2016,NA,0.37,0.25,,,,,,,,
3/24/2016,Thursday,25,50,50,3/24/2016,3/24/2016,NA,0.37,#N/A,,,,,,,,
3/25/2016,Friday,25,50,50,3/25/2016,3/25/2016,NA,0.37,#N/A,,,,,,,,
3/28/2016,Monday,25,50,50,3/28/2016,3/28/2016,NA,0.37,0.25,,,,,,,,
3/29/2016,Tuesday,25,50,50,3/29/2016,3/29/2016,NA,0.37,0.25,,,,,,,,
3/30/2016,Wednesday,25,50,50,3/30/2016,3/30/2016,NA,0.37,0.25,,,,,,,,
3/31/2016,Thursday,25,50,50,3/31/2016,3/31/2016,NA,0.25,0.25,,,,,,,,
4/1/2016,Friday,25,50,50,4/1/2016,4/1/2016,NA,0.37,0.25,,,,,,,,
4/4/2016,Monday,25,50,50,4/4/2016,4/4/2016,NA,0.37,0.25,,,,,,,,
4/5/2016,Tuesday,25,50,50,4/5/2016,4/5/2016,NA,0.37,0.25,,,,,,,,
4/6/2016,Wednesday,25,50,50,4/6/2016,4/6/2016,NA,0.37,0.25,,,,,,,,
4/7/2016,Thursday,25,50,50,4/7/2016,4/7/2016,NA,0.37,0.25,,,,,,,,
4/8/2016,Friday,25,50,50,4/8/2016,4/8/2016,NA,0.37,0.25,,,,,,,,
4/11/2016,Monday,25,50,50,4/11/2016,4/11/2016,NA,0.37,0.25,,,,,,,,
4/12/2016,Tuesday,25,50,50,4/12/2016,4/12/2016,NA,0.37,0.25,,,,,,,,
4/13/2016,Wednesday,25,50,50,4/13/2016,4/13/2016,NA,0.37,0.25,,,,,,,,
4/14/2016,Thursday,25,50,50,4/14/2016,4/14/2016,NA,0.37,0.25,,,,,,,,
4/15/2016,Friday,25,50,50,4/15/2016,4/15/2016,NA,0.37,0.25,,,,,,,,
4/18/2016,Monday,25,50,50,4/18/2016,4/18/2016,NA,0.37,0.25,,,,,,,,
4/19/2016,Tuesday,25,50,50,4/19/2016,4/19/2016,NA,0.37,0.25,,,,,,,,
4/20/2016,Wednesday,25,50,50,4/20/2016,4/20/2016,NA,0.37,0.25,,,,,,,,
4/21/2016,Thursday,25,50,50,4/21/2016,4/21/2016,NA,0.37,0.25,,,,,,,,
4/22/2016,Friday,25,50,50,4/22/2016,4/22/2016,NA,0.37,0.25,,,,,,,,
4/25/2016,Monday,25,50,50,4/25/2016,4/25/2016,NA,0.37,0.25,,,,,,,,
4/26/2016,Tuesday,25,50,50,4/26/2016,4/26/2016,NA,0.37,0.25,,,,,,,,
4/27/2016,Wednesday,25,50,50,4/27/2016,4/27/2016,NA,0.37,0.25,,,,,,,,
4/28/2016,Thursday,25,50,50,4/28/2016,4/28/2016,NA,0.37,0.25,,,,,,,,
4/29/2016,Friday,25,50,50,4/29/2016,4/29/2016,NA,0.3,0.25,,,,,,,,
5/2/2016,Monday,25,50,50,5/2/2016,5/2/2016,NA,0.37,0.25,,,,,,,,
5/3/2016,Tuesday,25,50,50,5/3/2016,5/3/2016,NA,0.37,0.25,,,,,,,,
5/4/2016,Wednesday,25,50,50,5/4/2016,5/4/2016,NA,0.37,0.25,,,,,,,,
5/5/2016,Thursday,25,50,50,5/5/2016,5/5/2016,NA,0.37,0.25,,,,,,,,
5/6/2016,Friday,25,50,50,5/6/2016,5/6/2016,NA,0.37,0.25,,,,,,,,
5/9/2016,Monday,25,50,50,5/9/2016,5/9/2016,NA,0.37,0.25,,,,,,,,
5/10/2016,Tuesday,25,50,50,5/10/2016,5/10/2016,NA,0.37,0.25,,,,,,,,
5/11/2016,Wednesday,25,50,50,5/11/2016,5/11/2016,NA,0.37,0.25,,,,,,,,
5/12/2016,Thursday,25,50,50,5/12/2016,5/12/2016,NA,0.37,0.25,,,,,,,,
5/13/2016,Friday,25,50,50,5/13/2016,5/13/2016,NA,0.37,0.25,,,,,,,,
5/16/2016,Monday,25,50,50,5/16/2016,5/16/2016,NA,0.37,0.25,,,,,,,,
5/17/2016,Tuesday,25,50,50,5/17/2016,5/17/2016,NA,0.37,0.25,,,,,,,,
5/18/2016,Wednesday,25,50,50,5/18/2016,5/18/2016,NA,0.37,0.25,,,,,,,,
5/19/2016,Thursday,25,50,50,5/19/2016,5/19/2016,NA,0.37,0.25,,,,,,,,
5/20/2016,Friday,25,50,50,5/20/2016,5/20/2016,NA,0.37,0.25,,,,,,,,
5/23/2016,Monday,25,50,50,5/23/2016,5/23/2016,NA,0.37,0.25,,,,,,,,
5/24/2016,Tuesday,25,50,50,5/24/2016,5/24/2016,NA,0.37,0.25,,,,,,,,
5/25/2016,Wednesday,25,50,50,5/25/2016,5/25/2016,NA,0.37,0.25,,,,,,,,
5/26/2016,Thursday,25,50,50,5/26/2016,5/26/2016,NA,0.37,0.25,,,,,,,,
5/27/2016,Friday,25,50,50,5/27/2016,5/27/2016,NA,0.37,0.25,,,,,,,,
5/30/2016,Monday,25,50,50,5/30/2016,5/31/2016,NA,0.29,0.25,,,,,,,,
5/31/2016,Tuesday,25,50,50,5/31/2016,6/1/2016,NA,0.37,0.25,,,,,,,,
6/1/2016,Wednesday,25,50,50,6/1/2016,6/2/2016,NA,0.37,0.25,,,,,,,,
6/2/2016,Thursday,25,50,50,6/2/2016,6/3/2016,NA,0.37,0.25,,,,,,,,
6/3/2016,Friday,25,50,50,6/3/2016,6/6/2016,NA,0.37,0.25,,,,,,,,
6/6/2016,Monday,25,50,50,6/6/2016,6/7/2016,NA,0.37,0.25,,,,,,,,
6/7/2016,Tuesday,25,50,50,6/7/2016,6/8/2016,NA,0.37,0.25,,,,,,,,
6/8/2016,Wednesday,25,50,50,6/8/2016,6/9/2016,NA,0.37,0.25,,,,,,,,
6/9/2016,Thursday,25,50,50,6/9/2016,6/10/2016,NA,0.37,0.25,,,,,,,,
6/10/2016,Friday,25,50,50,6/10/2016,6/13/2016,NA,0.37,0.25,,,,,,,,
6/13/2016,Monday,25,50,50,6/13/2016,6/14/2016,NA,0.37,0.25,,,,,,,,
6/14/2016,Tuesday,25,50,50,6/14/2016,6/15/2016,NA,0.37,0.25,,,,,,,,
6/15/2016,Wednesday,25,50,50,6/15/2016,6/16/2016,NA,0.38,0.25,,,,,,,,
