"Date","DFEDTARL","DFEDTARU","IORR","sdate","weekday"
"3/4/2016",25,50,50,2016-03-04,"Friday"
"3/7/2016",25,50,50,2016-03-07,"Monday"
"3/8/2016",25,50,50,2016-03-08,"Tuesday"
"3/9/2016",25,50,50,2016-03-09,"Wednesday"
"3/10/2016",25,50,50,2016-03-10,"Thursday"
"3/11/2016",25,50,50,2016-03-11,"Friday"
"3/14/2016",25,50,50,2016-03-14,"Monday"
"3/15/2016",25,50,50,2016-03-15,"Tuesday"
"3/16/2016",25,50,50,2016-03-16,"Wednesday"
"3/17/2016",25,50,50,2016-03-17,"Thursday"
"3/18/2016",25,50,50,2016-03-18,"Friday"
"3/21/2016",25,50,50,2016-03-21,"Monday"
"3/22/2016",25,50,50,2016-03-22,"Tuesday"
"3/23/2016",25,50,50,2016-03-23,"Wednesday"
"3/24/2016",25,50,50,2016-03-24,"Thursday"
"3/25/2016",25,50,50,2016-03-25,"Friday"
"3/28/2016",25,50,50,2016-03-28,"Monday"
"3/29/2016",25,50,50,2016-03-29,"Tuesday"
"3/30/2016",25,50,50,2016-03-30,"Wednesday"
"3/31/2016",25,50,50,2016-03-31,"Thursday"
"4/1/2016",25,50,50,2016-04-01,"Friday"
"4/4/2016",25,50,50,2016-04-04,"Monday"
"4/5/2016",25,50,50,2016-04-05,"Tuesday"
"4/6/2016",25,50,50,2016-04-06,"Wednesday"
"4/7/2016",25,50,50,2016-04-07,"Thursday"
"4/8/2016",25,50,50,2016-04-08,"Friday"
"4/11/2016",25,50,50,2016-04-11,"Monday"
"4/12/2016",25,50,50,2016-04-12,"Tuesday"
"4/13/2016",25,50,50,2016-04-13,"Wednesday"
"4/14/2016",25,50,50,2016-04-14,"Thursday"
"4/15/2016",25,50,50,2016-04-15,"Friday"
"4/18/2016",25,50,50,2016-04-18,"Monday"
"4/19/2016",25,50,50,2016-04-19,"Tuesday"
"4/20/2016",25,50,50,2016-04-20,"Wednesday"
"4/21/2016",25,50,50,2016-04-21,"Thursday"
"4/22/2016",25,50,50,2016-04-22,"Friday"
"4/25/2016",25,50,50,2016-04-25,"Monday"
"4/26/2016",25,50,50,2016-04-26,"Tuesday"
"4/27/2016",25,50,50,2016-04-27,"Wednesday"
"4/28/2016",25,50,50,2016-04-28,"Thursday"
"4/29/2016",25,50,50,2016-04-29,"Friday"
"5/2/2016",25,50,50,2016-05-02,"Monday"
"5/3/2016",25,50,50,2016-05-03,"Tuesday"
"5/4/2016",25,50,50,2016-05-04,"Wednesday"
"5/5/2016",25,50,50,2016-05-05,"Thursday"
"5/6/2016",25,50,50,2016-05-06,"Friday"
