sdate,EFFR,OBFR,TGCR,BGCR,SOFR,dkindex,TargetDe,TargetUe,Time,,,,,,,,,,,,,,,,,,,,,,,Dgara,,,,,,differences,
16867,13.1262102,13.11870101,15.07673295,28.97591074,3.111008545,73.40856343,0,0,3/4/2016 0:00,,,,,,,> dk,,,,,,,,,,,,,,,,Time,EFFR,volumeEFFR,TargetUE,TargetDE,Gara,r-U,r-D
16868,13.48312646,12.92054558,15.02261434,29.77040868,3.002105263,74.19880032,0,0,3/7/2016 0:00,,,,,,,"               [,1]         [,2]        [,3]       [,4]         [,5]",,,,,,,,,,,,,,,,3/1/2016,0,0,,0,,,
16869,13.40090142,13.22041734,14.76611599,28.20546992,3.030129583,72.62303425,0,0,3/8/2016 0:00,,,,,,,"   [1,] 13.12621020  13.11870101 15.07673295 28.9759107   3.11100854",,,,,,,,,,,,,,,,3/2/2016,0,0,,0,,,
16870,13.96282659,12.60890992,14.92293567,27.19654933,3.199316298,71.8905378,0,0,3/9/2016 0:00,,,,,,,"   [2,] 13.48312646  12.92054558 15.02261434 29.7704087   3.00210526",,,,,,,,,,,,,,,,3/3/2016,0,0,,0,,,
16871,13.4042388,12.75982446,15.05699917,27.56369859,3.108104192,71.89286522,0,0,3/10/2016 0:00,,,,,,,"   [3,] 13.40090142  13.22041734 14.76611599 28.2054699   3.03012958",,,,,,,,,,,,,,,,3/4/2016,0.37,325,,,,,
16874,12.80871563,12.99172029,15.05209272,26.33862862,2.897286729,70.08844399,0,0,3/11/2016 0:00,,,,,,,"   [4,] 13.96282659  12.60890992 14.92293567 27.1965493   3.19931630",,,,,,,,,,,,,,,,3/7/2016,0.37,320,,,,,
16875,12.63489153,12.51138893,15.1933323,28.11391881,2.834587985,71.28811957,0,0,3/14/2016 0:00,,,,,,,"   [5,] 13.40423880  12.75982446 15.05699917 27.5636986   3.10810419",,,,,,,,,,,,,,,,3/8/2016,0.37,327,,,,,
16876,12.87952404,12.55916462,14.92367997,28.15899653,2.878002726,71.39936788,0,0,3/15/2016 0:00,,,,,,,"   [6,] 12.80871563  12.99172029 15.05209272 26.3386286   2.89728673",,,,,,,,,,,,,,,,3/9/2016,0.37,322,,,,,
16877,13.16515142,12.5891372,15.35226335,29.22591793,2.702917275,73.03538717,0,0,3/16/2016 0:00,,,,,,,"   [7,] 12.63489153  12.51138893 15.19333230 28.1139188   2.83458799",,,,,,,,,,,,,,,,3/10/2016,0.37,331,,,,,
16878,12.99725278,12.59150568,15.47828132,31.4091707,2.730918246,75.20712873,0,0,3/17/2016 0:00,,,,,,,"   [8,] 12.87952404  12.55916462 14.92367997 28.1589965   2.87800273",,,,,,,,,,,,,,,,3/11/2016,0.37,314,,,,,
16881,13.38860819,12.54582816,15.59117949,32.34890364,2.889131444,76.76365092,0,0,3/18/2016 0:00,,,,,,,"   [9,] 13.16515142  12.58913720 15.35226335 29.2259179   2.70291728",,,,,,,,,,,,,,,,3/14/2016,0.37,304,,,,,
16882,13.85535843,12.78980712,15.38097437,31.13875918,2.718777573,75.88367666,0,0,3/21/2016 0:00,,,,,,,"  [10,] 12.99725278  12.59150568 15.47828132 31.4091707   2.73091825",,,,,,,,,,,,,,,,3/15/2016,0.37,302,,,,,
16883,13.36073703,12.20303351,14.64109162,28.43159454,2.980849903,71.6173066,0,0,3/22/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,3/16/2016,0.37,299,begn<-  520,,,,
16884,5.015167063,13.69154124,16.36851291,31.94291488,3.458268271,70.47640436,0,0,3/23/2016 0:00,,,,,,,dkindex[1:10],,,,,,,,,,,,,,,,3/17/2016,0.37,306,for (t in 520:nrow(dgaraa)) {,,,,
16885,5.118044738,13.6813084,16.35627934,31.91904125,3.402519253,70.47719298,0,0,3/24/2016 0:00,,,,,,, [1] 73.40856 74.19880 72.62303 71.89054 71.89287 70.08844 71.28812 71.39937 73.03539 75.20713,,,,,,,,,,,,,,,,3/18/2016,0.37,299,"  if (rrbp[t, 1] > targetbp[t, 2]) {",,,,
16888,14.02106308,11.23557847,13.61519616,28.26451171,3.201261703,70.33761112,0,0,3/25/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,3/21/2016,0.37,305,"    dgaraa[t,1] <- rrbp[t, 1] - targetbp[t, 2] } # greater than TU",,,,
16889,14.10399519,10.63657244,14.25850148,29.98983115,3.146674663,72.13557492,0,0,3/28/2016 0:00,,,,,,,meanr> colMeans(rrbp),,,,,,,,,,,,,,,,3/22/2016,0.37,310,"   else if (rrbp[t, 1] < targetbp[t, 1]) {",,,,
16890,14.57648154,10.89877046,13.51110635,26.88900085,3.332138731,69.20749793,0,0,3/29/2016 0:00,,,,,,,    EFFR     OBFR     TGCR     BGCR     SOFR ,,,,,,,,,,,,,,,,3/23/2016,0.37,295,"    dgaraa[t,1] <- rrbp[t, 1] - targetbp[t, 1] }  # less than TD",,,,
16891,11.66529581,11.39840255,14.31285871,29.92228057,4.016068077,71.31490572,0,0,3/30/2016 0:00,,,,,,,108.3327 104.8129 104.4386 105.5754 108.1339 ,,,,,,,,,,,,,,,,3/24/2016,0.37,94,},,,,
16892,13.56065272,11.44597877,14.73263889,29.24278143,2.706182231,71.68823404,0,0,3/31/2016 0:00,,,,,,,"> rrbp[1:10,]",,,,,,,,,,,,,,,,3/25/2016,0.37,96,,,,,
16895,13.24815418,11.76778491,14.63022686,29.46959249,3.235402467,72.35116091,0,0,4/1/2016 0:00,,,,,,,   EFFR OBFR TGCR BGCR SOFR,,,,,,,,,,,,,,,,3/28/2016,0.37,297,,,,,
16896,12.93322731,12.23397643,14.99371482,29.52208122,3.279694668,72.96269443,0,0,4/4/2016 0:00,,,,,,,1    37   28   28   34   36,,,,,,,,,,,,,,,,3/29/2016,0.37,295,,,,,
16897,12.8179462,12.50329105,14.84191093,28.83820999,3.370653351,72.37201152,0,0,4/5/2016 0:00,,,,,,,2    37   28   28   32   36,,,,,,,,,,,,,,,,3/30/2016,0.37,301,,,,,
16898,12.94557288,12.44828532,15.02556855,28.62226121,3.337146776,72.37883474,0,0,4/6/2016 0:00,,,,,,,3    37   28   30   35   36,,,,,,,,,,,,,,,,3/31/2016,0.25,181,,,,,
16899,12.96556782,12.60412404,15.00778155,27.92512951,3.486091521,71.98869444,0,0,4/7/2016 0:00,,,,,,,4    37   30   30   36   36,,,,,,,,,,,,,,,,4/1/2016,0.37,292,,,,,
16902,13.08132865,12.43044534,14.84191093,28.62105479,3.239329195,72.21406892,0,0,4/8/2016 0:00,,,,,,,5    37   30   30   36   36,,,,,,,,,,,,,,,,4/4/2016,0.37,294,,,,,
16903,13.16912281,12.43044534,14.84191093,28.62105479,3.151779757,72.21431363,0,0,4/11/2016 0:00,,,,,,,6    37   30   31   40   36,,,,,,,,,,,,,,,,4/5/2016,0.37,291,,,,,
16904,12.65510395,12.39992246,15.1253379,28.81072232,3.231375041,72.22246167,0,0,4/12/2016 0:00,,,,,,,7    37   31   30   37   36,,,,,,,,,,,,,,,,4/6/2016,0.37,292,,,,,
16905,12.38632361,12.85042974,15.06440054,27.07096223,3.243457853,70.61557397,0,0,4/13/2016 0:00,,,,,,,8    37   30   30   37   37,,,,,,,,,,,,,,,,4/7/2016,0.37,294,,,,,
16906,12.28040481,12.97252298,15.03576374,28.00128226,3.138911241,71.42888504,0,0,4/14/2016 0:00,,,,,,,9    37   30   28   34   37,,,,,,,,,,,,,,,,4/8/2016,0.37,293,,,,,
16909,12.47661795,12.83851987,15.82628543,30.23577733,3.077487187,74.45468776,0,0,4/15/2016 0:00,,,,,,,10   37   28   27   30   37,,,,,,,,,,,,,,,,4/11/2016,0.37,298,,,,,
16910,12.53727096,13.06312954,16.19170654,30.6424051,2.974691122,75.40920326,0,0,4/18/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,4/12/2016,0.37,300,,,,,
16911,12.56454409,13.462938,15.97188161,30.68334484,2.932441347,75.61514989,0,0,4/19/2016 0:00,,,,,,,> colMeans(rrbp),,,,,,,,,,,,,,,,4/13/2016,0.37,289,,,,,
16912,13.1010392,13.36139489,15.27180051,28.07804862,2.70903128,72.5213145,0,0,4/20/2016 0:00,,,,,,,    EFFR     OBFR     TGCR     BGCR     SOFR ,,,,,,,,,,,,,,,,4/14/2016,0.37,278,,,,,
16913,12.6940667,12.65103852,15.62660963,30.21848371,2.847108792,74.03730735,0,0,4/21/2016 0:00,,,,,,,108.3327 104.8129 104.4386 105.5754 108.1339 ,,,,,,,,,,,,,,,,4/15/2016,0.37,277,,,,,
16916,12.20222982,12.90418464,15.90553637,31.6944206,2.573207339,75.27957878,0,0,4/22/2016 0:00,,,,,,,"> rrbp[1:10,]",,,,,,,,,,,,,,,,4/18/2016,0.37,283,,,,,
16917,12.1863832,13.4395187,16.13707924,31.4831434,2.626346164,75.87247071,0,0,4/25/2016 0:00,,,,,,,   EFFR OBFR TGCR BGCR SOFR,,,,,,,,,,,,,,,,4/19/2016,0.37,290,,,,,
16918,12.90574035,13.0725614,16.36349798,31.74625641,2.363834818,76.45189096,0,0,4/26/2016 0:00,,,,,,,1    37   28   28   34   36,,,,,,,,,,,,,,,,4/20/2016,0.37,282,,,,,
16919,13.25691696,13.4345623,15.22699055,30.05963833,2.757807287,74.73591543,0,0,4/27/2016 0:00,,,,,,,2    37   28   28   32   36,,,,,,,,,,,,,,,,4/21/2016,0.37,299,,,,,
16920,14.3593534,12.67266618,15.81078803,30.86076696,2.787802101,76.49137667,0,0,4/28/2016 0:00,,,,,,,3    37   28   30   35   36,,,,,,,,,,,,,,,,4/22/2016,0.37,289,,,,,
16923,12.16392789,13.3637199,15.36220271,31.42886937,2.759906974,75.07862684,0,0,4/29/2016 0:00,,,,,,,4    37   30   30   36   36,,,,,,,,,,,,,,,,4/25/2016,0.37,279,,,,,
16924,12.58313085,13.27516746,15.85258139,30.44348953,2.501132997,74.65550223,0,0,5/2/2016 0:00,,,,,,,5    37   30   30   36   36,,,,,,,,,,,,,,,,4/26/2016,0.37,273,,,,,
16925,11.82971668,13.74043805,15.50942574,29.88665577,2.695136028,73.66137227,0,0,5/3/2016 0:00,,,,,,,6    37   30   31   40   36,,,,,,,,,,,,,,,,4/27/2016,0.37,294,,,,,
16926,12.49499854,13.23427946,15.40570833,28.66201076,2.645652624,72.44264972,0,0,5/4/2016 0:00,,,,,,,7    37   31   30   37   36,,,,,,,,,,,,,,,,4/28/2016,0.37,302,,,,,
16927,12.56550513,12.86476477,15.95555696,28.5430923,2.557240915,72.48616008,0,0,5/5/2016 0:00,,,,,,,8    37   30   30   37   37,,,,,,,,,,,,,,,,4/29/2016,0.3,290,,,,,
16930,12.65856928,13.08999116,15.6485338,28.51789305,2.729358969,72.64434628,0,0,5/6/2016 0:00,,,,,,,9    37   30   28   34   37,,,,,,,,,,,,,,,,5/2/2016,0.37,280,,,,,
16931,12.5552517,13.20670171,15.86984338,28.37481467,2.658410442,72.66502191,0,0,5/9/2016 0:00,,,,,,,10   37   28   27   30   37,,,,,,,,,,,,,,,,5/3/2016,0.37,296,,,,,
16932,12.40757505,13.41657983,15.63636364,28.4868134,2.716022329,72.66335424,0,0,5/10/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,5/4/2016,0.37,267,,,,,
16933,12.37621068,13.37874097,15.55388769,28.68306595,2.662766989,72.65467228,0,0,5/11/2016 0:00,,,,,,,,,,,,,,,,,,,,,,,5/5/2016,0.37,292,,,,,
