Time,EFFR,volEFFR,targetU,targetL,OBFR,volOBFR,TGCR,volTGCR,BGCR,volBGCR,SOFR,volSOFR,IOR,ONRRPust,ONRRPmbs
2/28/2016 0:00,0.0925,81.25,,,0.0725,72.5,0.07,86.25,0.085,174.75,0.0925,18.75,,,
3/6/2016 0:00,0.37,322.8,,,0.288,290.6,0.292,340,0.346,682.4,0.36,73.2,,,
3/13/2016 0:00,0.37,302,,,0.298,281.8,0.292,337.6,0.356,683.6,0.366,65.6,,,
3/20/2016 0:00,0.37,220,,,0.284,252.8,0.292,310,0.338,647,0.37,64.4,,,
3/27/2016 0:00,0.33,257.8333333,,,0.53,198,0.553333333,289.3333333,0.618333333,583.8333333,0.588333333,69,,,
4/3/2016 0:00,0.37,292.8,,,0.292,262,0.296,320.4,0.35,658.2,0.37,75.6,,,
4/10/2016 0:00,0.37,288.4,,,0.3,272.8,0.3,325.6,0.362,658.2,0.37,72.8,,,
4/17/2016 0:00,0.37,288.6,,,0.276,275,0.278,334.4,0.318,659.8,0.37,66.4,,,
4/24/2016 0:00,0.356,287.6,,,0.272,272.2,0.272,331.6,0.296,661.4,0.37,59.4,,,
5/1/2016 0:00,0.37,285.8,,,0.284,287.6,0.288,341.4,0.33,678.4,0.356,60,,,
5/8/2016 0:00,0.37,287,,,0.29,292,0.292,345.8,0.356,672.8,0.37,62.6,,,
5/15/2016 0:00,0.37,300.4,,,0.28,280.6,0.272,334.8,0.31,676.8,0.37,61.4,,,
5/22/2016 0:00,0.37,313.4,,,0.268,275.8,0.276,334.2,0.302,675.4,0.37,67.8,,,
5/29/2016 0:00,0.35,296.5,,,0.2825,282.5,0.28,331.75,0.3425,687.75,0.35,66,,,
6/5/2016 0:00,0.37,291.4,,,0.298,288.8,0.31,337.2,0.382,690.4,0.37,72,,,
6/12/2016 0:00,0.376,257,,,0.322,288.2,0.326,340.8,0.406,686.6,0.372,69.4,,,
6/19/2016 0:00,0.386,249.6,,,0.356,278.6,0.39,327,0.488,651.4,0.382,70.6,,,
6/26/2016 0:00,0.388,224.8,,,0.398,260,0.382,311.4,0.508,653,0.386,62.2,,,
7/3/2016 0:00,0.4,248.25,,,0.3225,286.5,0.325,323.5,0.3975,685.75,0.4025,69,,,
7/10/2016 0:00,0.4,256.4,,,0.316,292.6,0.314,338.4,0.388,687.6,0.4,64.2,,,
7/17/2016 0:00,0.4,252,,,0.44,305.4,0.44,347.6,0.478,692.8,0.4,70.4,,,
7/24/2016 0:00,0.38,259,,,0.308,319.4,0.306,347,0.36,708.8,0.4,67.6,,,
7/31/2016 0:00,0.4,258.4,,,0.74,337.2,0.736,364.6,0.762,731.2,0.38,66.6,,,
8/7/2016 0:00,0.4,247,,,0.316,310.6,0.322,337.8,0.378,684.4,0.4,65,,,
8/14/2016 0:00,0.4,244,,,0.322,314.8,0.318,344.2,0.386,692,0.4,64.4,,,
8/21/2016 0:00,0.4,252.8,,,0.298,309.2,0.298,341.8,0.352,684.8,0.38,114,,,
8/28/2016 0:00,0.38,240.6,,,0.31,302.2,0.312,328,0.418,691.8,0.38,67.6,,,
9/4/2016 0:00,0.4,238.25,,,0.31,316,0.3175,342.5,0.3875,705.25,0.4,66.75,,,
9/11/2016 0:00,0.4,232,,,0.32,315.8,0.314,346.2,0.388,728.8,0.4,62,,,
9/18/2016 0:00,0.4,226.2,,,0.288,300,0.296,343.4,0.378,716.6,0.4,59.8,,,
9/25/2016 0:00,0.378,188.6,,,0.394,264.6,0.402,290.8,0.644,659.6,0.4,65,,,
10/2/2016 0:00,0.402,182,,,0.352,285.8,0.348,311,0.45,685.6,0.378,62.6,,,
10/9/2016 0:00,0.41,169.5,,,0.3225,310.25,0.325,339.5,0.3875,703.5,0.4075,66.5,,,
10/16/2016 0:00,0.41,171.6,,,0.29,311.2,0.286,351.8,0.322,704,0.41,66.2,,,
10/23/2016 0:00,0.41,168,,,0.302,301.8,0.308,342.2,0.382,711,0.41,67.8,,,
10/30/2016 0:00,0.39,156.2,,,0.3,305.6,0.296,337.8,0.364,718.6,0.39,64.2,,,
11/6/2016 0:00,0.41,160.25,,,0.3,310.75,0.3025,339.75,0.36,699.5,0.41,63.25,,,
11/13/2016 0:00,0.41,174.2,,,0.282,303.6,0.274,340,0.292,730,0.41,66.4,,,
11/20/2016 0:00,0.41,182,,,0.2575,297.75,0.2575,327,0.26,695,0.41,75.75,,,
