Date,DFEDTARL,DFEDTARU,IORR,Dater,SOFR,EFFR,RRPONTSYAWARD
3/1/2016,0.25,0.5,0.5,3/1/2016,NA,0.36,0.25
3/2/2016,0.25,0.5,0.5,3/2/2016,NA,0.37,0.25
3/3/2016,0.25,0.5,0.5,3/3/2016,NA,0.37,0.25
3/4/2016,0.25,0.5,0.5,3/4/2016,NA,0.36,0.25
3/5/2016,0.25,0.5,0.5,3/7/2016,NA,0.36,0.25
3/6/2016,0.25,0.5,0.5,3/8/2016,NA,0.36,0.25
3/7/2016,0.25,0.5,0.5,3/9/2016,NA,0.36,0.25
3/8/2016,0.25,0.5,0.5,3/10/2016,NA,0.36,0.25
3/9/2016,0.25,0.5,0.5,3/11/2016,NA,0.36,0.25
3/10/2016,0.25,0.5,0.5,3/14/2016,NA,0.36,0.25
3/11/2016,0.25,0.5,0.5,3/15/2016,NA,0.37,0.25
3/12/2016,0.25,0.5,0.5,3/16/2016,NA,0.37,0.25
3/13/2016,0.25,0.5,0.5,3/17/2016,NA,0.37,0.25
3/14/2016,0.25,0.5,0.5,3/18/2016,NA,0.37,0.25
3/15/2016,0.25,0.5,0.5,3/21/2016,NA,0.37,0.25
3/16/2016,0.25,0.5,0.5,3/22/2016,NA,0.37,0.25
3/17/2016,0.25,0.5,0.5,3/23/2016,NA,0.37,0.25
3/18/2016,0.25,0.5,0.5,3/24/2016,NA,0.37,#N/A
3/19/2016,0.25,0.5,0.5,3/25/2016,NA,0.37,#N/A
3/20/2016,0.25,0.5,0.5,3/28/2016,NA,0.37,0.25
3/21/2016,0.25,0.5,0.5,3/29/2016,NA,0.37,0.25
3/22/2016,0.25,0.5,0.5,3/30/2016,NA,0.37,0.25
3/23/2016,0.25,0.5,0.5,3/31/2016,NA,0.25,0.25
3/24/2016,0.25,0.5,0.5,4/1/2016,NA,0.37,0.25
3/25/2016,0.25,0.5,0.5,4/4/2016,NA,0.37,0.25
3/26/2016,0.25,0.5,0.5,4/5/2016,NA,0.37,0.25
3/27/2016,0.25,0.5,0.5,4/6/2016,NA,0.37,0.25
3/28/2016,0.25,0.5,0.5,4/7/2016,NA,0.37,0.25
3/29/2016,0.25,0.5,0.5,4/8/2016,NA,0.37,0.25
3/30/2016,0.25,0.5,0.5,4/11/2016,NA,0.37,0.25
3/31/2016,0.25,0.5,0.5,4/12/2016,NA,0.37,0.25
4/1/2016,0.25,0.5,0.5,4/13/2016,NA,0.37,0.25
4/2/2016,0.25,0.5,0.5,4/14/2016,NA,0.37,0.25
4/3/2016,0.25,0.5,0.5,4/15/2016,NA,0.37,0.25
4/4/2016,0.25,0.5,0.5,4/18/2016,NA,0.37,0.25
4/5/2016,0.25,0.5,0.5,4/19/2016,NA,0.37,0.25
